week,market,entity,rule_id,rule,category,severity,owner,metric,value,detail,action,severity_rank
,SGE,Influencer_1,INF-01,Influencer cost per acquisition far above roster,Influencer,high,Influencer Marketing Manager,cpa_aed,366.7178217821782,"Influencer_1: 367 AED CPA against a roster median of 164 (2.2x) on 74,077 AED of fees",Renegotiate to a performance-weighted fee or exit at contract end. Retest at a lower rate before renewing.,1
2,SEMAG,SEMAG (Maghreb),EFF-01,Marketing efficiency below peer group,Commercial,high,Marketing Director,mer,8.773428765718105,"mer at 8.77 against a peer median of 10.65 (+18% gap, -3.0 robust SD across 8 markets)","Compare this market's channel mix against the peer median before changing budget. A low MER with a normal mix is an execution problem; a low MER with an unusual mix is an allocation problem, and they have different fixes.",1
2,SEMAG,SEMAG (Maghreb),EFF-02,Cost per acquisition above peer group,Commercial,high,Performance Media Manager,cpa_aed,41.02754462702447,"cpa_aed at 41.03 against a peer median of 32.62 (+26% gap, +2.2 robust SD across 8 markets)","Check whether the gap is traffic cost or conversion quality. If impressions and clicks are in line with peers but conversions are not, the problem is after the click and adding media will not fix it.",1
2,SEPAK,SEPAK (Pakistan),EFF-01,Marketing efficiency below peer group,Commercial,high,Marketing Director,mer,9.224132262755264,"mer at 9.22 against a peer median of 10.65 (+13% gap, -2.3 robust SD across 8 markets)","Compare this market's channel mix against the peer median before changing budget. A low MER with a normal mix is an execution problem; a low MER with an unusual mix is an allocation problem, and they have different fixes.",1
3,SEEG,SEEG (Egypt),EFF-02,Cost per acquisition above peer group,Commercial,high,Performance Media Manager,cpa_aed,38.97025321642219,"cpa_aed at 38.97 against a peer median of 32.78 (+19% gap, +3.3 robust SD across 8 markets)","Check whether the gap is traffic cost or conversion quality. If impressions and clicks are in line with peers but conversions are not, the problem is after the click and adding media will not fix it.",1
3,SESAR,SESAR (Saudi Arabia),EFF-02,Cost per acquisition above peer group,Commercial,high,Performance Media Manager,cpa_aed,37.89580982471978,"cpa_aed at 37.90 against a peer median of 32.78 (+16% gap, +2.8 robust SD across 8 markets)","Check whether the gap is traffic cost or conversion quality. If impressions and clicks are in line with peers but conversions are not, the problem is after the click and adding media will not fix it.",1
4,SEEG,SEEG (Egypt),EFF-01,Marketing efficiency below peer group,Commercial,high,Marketing Director,mer,8.938916502837642,"mer at 8.94 against a peer median of 10.06 (+11% gap, -2.4 robust SD across 8 markets)","Compare this market's channel mix against the peer median before changing budget. A low MER with a normal mix is an execution problem; a low MER with an unusual mix is an allocation problem, and they have different fixes.",1
4,SEEG,SEEG (Egypt),EFF-02,Cost per acquisition above peer group,Commercial,high,Performance Media Manager,cpa_aed,40.44481950304735,"cpa_aed at 40.44 against a peer median of 34.42 (+18% gap, +2.1 robust SD across 8 markets)","Check whether the gap is traffic cost or conversion quality. If impressions and clicks are in line with peers but conversions are not, the problem is after the click and adding media will not fix it.",1
5,SGE,SGE (Gulf),EFF-02,Cost per acquisition above peer group,Commercial,high,Performance Media Manager,cpa_aed,40.922016295102516,"cpa_aed at 40.92 against a peer median of 33.28 (+23% gap, +2.3 robust SD across 8 markets)","Check whether the gap is traffic cost or conversion quality. If impressions and clicks are in line with peers but conversions are not, the problem is after the click and adding media will not fix it.",1
6,SETK,SETK (Türkiye),EFF-01,Marketing efficiency below peer group,Commercial,high,Marketing Director,mer,8.491935541450388,"mer at 8.49 against a peer median of 10.26 (+17% gap, -2.3 robust SD across 8 markets)","Compare this market's channel mix against the peer median before changing budget. A low MER with a normal mix is an execution problem; a low MER with an unusual mix is an allocation problem, and they have different fixes.",1
6,SETK,SETK (Türkiye),EFF-02,Cost per acquisition above peer group,Commercial,high,Performance Media Manager,cpa_aed,41.94220403274107,"cpa_aed at 41.94 against a peer median of 33.38 (+26% gap, +2.1 robust SD across 8 markets)","Check whether the gap is traffic cost or conversion quality. If impressions and clicks are in line with peers but conversions are not, the problem is after the click and adding media will not fix it.",1
7,SGE,SGE (Gulf),EFF-01,Marketing efficiency below peer group,Commercial,high,Marketing Director,mer,8.830850004478421,"mer at 8.83 against a peer median of 10.86 (+19% gap, -3.1 robust SD across 8 markets)","Compare this market's channel mix against the peer median before changing budget. A low MER with a normal mix is an execution problem; a low MER with an unusual mix is an allocation problem, and they have different fixes.",1
8,SEPAK,SEPAK (Pakistan),EFF-02,Cost per acquisition above peer group,Commercial,high,Performance Media Manager,cpa_aed,46.31357154302195,"cpa_aed at 46.31 against a peer median of 37.06 (+25% gap, +2.7 robust SD across 8 markets)","Check whether the gap is traffic cost or conversion quality. If impressions and clicks are in line with peers but conversions are not, the problem is after the click and adding media will not fix it.",1
,All markets,Influencer follower data,INF-03,Influencer follower count data unreliable,Measurement,medium,Analytics Lead,followers_unstable,0.7916666666666666,"19 of 24 influencers (79%) have a recorded follower count that swings by more than its own median across rows in the dataset — the same creator shows very different values week to week, sometimes even product to product in the same week. Follower-tier classification and any size-based peer comparison are not reliable on this field until its meaning is confirmed with the data source.","Confirm the definition and collection method of follower count with the data source before using it for tier classification or any size-based influencer decision. Until then, evaluate the roster on cost per acquisition, ROAS and engagement rate only.",2
4,SETK,SETK (Türkiye),WEB-01,Website conversion rate below peer group,Performance,medium,E-commerce Manager,web_conversion_rate,0.009828430388467074,"web_conversion_rate at 0.01 against a peer median of 0.01 (+21% gap, -2.8 robust SD across 8 markets)",Check for tracking breakage first — a conversion gap against otherwise comparable markets is a broken tag more often than a broken funnel.,2
5,SEPAK,SEPAK (Pakistan),WEB-01,Website conversion rate below peer group,Performance,medium,E-commerce Manager,web_conversion_rate,0.011078215643128626,"web_conversion_rate at 0.01 against a peer median of 0.01 (+13% gap, -3.1 robust SD across 8 markets)",Check for tracking breakage first — a conversion gap against otherwise comparable markets is a broken tag more often than a broken funnel.,2
6,SEPAK,SEPAK (Pakistan),SOV-02,Share of voice below peer group,Competitive,medium,Brand & PR Lead,share_of_voice,23.28333333333333,"share_of_voice at 23.28 against a peer median of 31.43 (+26% gap, -2.1 robust SD across 8 markets)","Review the earned media calendar for this market. A structural SOV deficit against comparable subsidiaries usually reflects PR capacity, not spend.",2
6,SGE,SGE (Gulf),WEB-01,Website conversion rate below peer group,Performance,medium,E-commerce Manager,web_conversion_rate,0.01221749600030578,"web_conversion_rate at 0.01 against a peer median of 0.01 (+9% gap, -3.0 robust SD across 8 markets)",Check for tracking breakage first — a conversion gap against otherwise comparable markets is a broken tag more often than a broken funnel.,2
7,SEEG,SEEG (Egypt),WEB-01,Website conversion rate below peer group,Performance,medium,E-commerce Manager,web_conversion_rate,0.011981070857667411,"web_conversion_rate at 0.01 against a peer median of 0.01 (+9% gap, -2.8 robust SD across 8 markets)",Check for tracking breakage first — a conversion gap against otherwise comparable markets is a broken tag more often than a broken funnel.,2
7,SEIL,SEIL (Israel),SOV-02,Share of voice below peer group,Competitive,medium,Brand & PR Lead,share_of_voice,24.03333333333333,"share_of_voice at 24.03 against a peer median of 29.61 (+19% gap, -3.4 robust SD across 8 markets)","Review the earned media calendar for this market. A structural SOV deficit against comparable subsidiaries usually reflects PR capacity, not spend.",2
7,SETK,SETK (Türkiye),SOV-02,Share of voice below peer group,Competitive,medium,Brand & PR Lead,share_of_voice,25.75,"share_of_voice at 25.75 against a peer median of 29.61 (+13% gap, -2.4 robust SD across 8 markets)","Review the earned media calendar for this market. A structural SOV deficit against comparable subsidiaries usually reflects PR capacity, not spend.",2
8,SEEG,Influencer_13,INF-04,Influencer engagement declining,Influencer,medium,Influencer Marketing Manager,engagement_rate,-0.0978608310794199,Influencer_13: engagement -9.8% across the last 2 weeks versus the 3 before — declining independent of how it compares to the rest of the roster,"Confirm with platform-native analytics before assuming a content problem. A real decline independent of the roster is the earliest indicator an account's audience quality is degrading, regardless of how it compares to the rest of the roster.",2
8,SEEG,Influencer_15,INF-04,Influencer engagement declining,Influencer,medium,Influencer Marketing Manager,engagement_rate,-0.23278688524590152,Influencer_15: engagement -23.3% across the last 2 weeks versus the 3 before — declining independent of how it compares to the rest of the roster,"Confirm with platform-native analytics before assuming a content problem. A real decline independent of the roster is the earliest indicator an account's audience quality is degrading, regardless of how it compares to the rest of the roster.",2
8,SELV,Influencer_10,INF-04,Influencer engagement declining,Influencer,medium,Influencer Marketing Manager,engagement_rate,-0.25905260760646764,Influencer_10: engagement -25.9% across the last 2 weeks versus the 3 before — declining independent of how it compares to the rest of the roster,"Confirm with platform-native analytics before assuming a content problem. A real decline independent of the roster is the earliest indicator an account's audience quality is degrading, regardless of how it compares to the rest of the roster.",2
8,SESAR,Influencer_21,INF-04,Influencer engagement declining,Influencer,medium,Influencer Marketing Manager,engagement_rate,-0.12534114357984427,Influencer_21: engagement -12.5% across the last 2 weeks versus the 3 before — declining independent of how it compares to the rest of the roster,"Confirm with platform-native analytics before assuming a content problem. A real decline independent of the roster is the earliest indicator an account's audience quality is degrading, regardless of how it compares to the rest of the roster.",2
